2026-04-30 20:29:30,232 | INFO | snowflake_raw_loader | Starting automated S3 to Snowflake RAW load
2026-04-30 20:45:33,417 | INFO | snowflake_raw_loader | Statement 10 completed successfully
2026-04-30 20:45:33,417 | INFO | snowflake_raw_loader | Running statement 11/15
2026-04-30 20:45:33,965 | INFO | snowflake_raw_loader | Statement 11 completed successfully
2026-04-30 20:45:33,966 | INFO | snowflake_raw_loader | Running statement 12/15
2026-04-30 20:45:34,310 | INFO | snowflake_raw_loader | Statement 12 completed successfully
2026-04-30 20:45:34,310 | INFO | snowflake_raw_loader | Running statement 13/15
2026-04-30 20:45:34,713 | INFO | snowflake_raw_loader | Statement 13 completed successfully
2026-04-30 20:45:34,714 | INFO | snowflake_raw_loader | Running statement 14/15
2026-04-30 20:45:35,086 | INFO | snowflake_raw_loader | Statement 14 completed successfully
2026-04-30 20:45:35,086 | INFO | snowflake_raw_loader | Running statement 15/15
2026-04-30 20:45:35,312 | INFO | snowflake_raw_loader | Statement 15 completed successfully
2026-04-30 20:45:35,312 | INFO | snowflake_raw_loader | Automated S3 to Snowflake RAW load completed successfully
2026-04-30 20:45:35,529 | INFO | snowflake_raw_loader | Snowflake connection closed
2026-04-30 20:46:43,328 | INFO | snowflake_raw_loader | Starting automated S3 to Snowflake RAW load
2026-04-30 20:46:44,458 | INFO | snowflake_raw_loader | Executing SQL file: sql/load_raw_from_s3.sql
2026-04-30 20:46:44,458 | INFO | snowflake_raw_loader | Running statement 1/15
2026-04-30 20:46:44,658 | INFO | snowflake_raw_loader | Statement 1 completed successfully
2026-04-30 20:46:44,658 | INFO | snowflake_raw_loader | Running statement 2/15
2026-04-30 20:46:44,804 | INFO | snowflake_raw_loader | Statement 2 completed successfully
2026-04-30 20:46:44,804 | INFO | snowflake_raw_loader | Running statement 3/15
2026-04-30 20:46:44,946 | INFO | snowflake_raw_loader | Statement 3 completed successfully
2026-04-30 20:46:44,946 | INFO | snowflake_raw_loader | Running statement 4/15
2026-04-30 20:46:45,102 | INFO | snowflake_raw_loader | Statement 4 completed successfully
2026-04-30 20:46:45,102 | INFO | snowflake_raw_loader | Running statement 5/15
2026-04-30 20:46:45,259 | INFO | snowflake_raw_loader | Statement 5 completed successfully
2026-04-30 20:46:45,260 | INFO | snowflake_raw_loader | Running statement 6/15
2026-04-30 20:46:45,399 | INFO | snowflake_raw_loader | Statement 6 completed successfully
2026-04-30 20:46:45,399 | INFO | snowflake_raw_loader | Running statement 7/15
2026-04-30 20:46:55,104 | INFO | snowflake_raw_loader | Statement 7 completed successfully
2026-04-30 20:46:55,105 | INFO | snowflake_raw_loader | Running statement 8/15
2026-04-30 20:47:14,181 | INFO | snowflake_raw_loader | Statement 8 completed successfully
2026-04-30 20:47:14,182 | INFO | snowflake_raw_loader | Running statement 9/15
2026-04-30 20:47:15,760 | INFO | snowflake_raw_loader | Statement 9 completed successfully
2026-04-30 20:47:15,761 | INFO | snowflake_raw_loader | Running statement 10/15
2026-04-30 20:47:19,103 | INFO | snowflake_raw_loader | Statement 10 completed successfully
2026-04-30 20:47:19,103 | INFO | snowflake_raw_loader | Running statement 11/15
2026-04-30 20:47:19,600 | INFO | snowflake_raw_loader | Statement 11 completed successfully
2026-04-30 20:47:19,600 | INFO | snowflake_raw_loader | Running statement 12/15
2026-04-30 20:47:22,494 | INFO | snowflake_raw_loader | Statement 12 completed successfully
2026-04-30 20:47:22,494 | INFO | snowflake_raw_loader | Running statement 13/15
2026-04-30 20:47:27,551 | INFO | snowflake_raw_loader | Statement 13 completed successfully
2026-04-30 20:47:27,552 | INFO | snowflake_raw_loader | Running statement 14/15
2026-04-30 20:47:29,320 | INFO | snowflake_raw_loader | Statement 14 completed successfully
2026-04-30 20:47:29,320 | INFO | snowflake_raw_loader | Running statement 15/15
2026-04-30 20:47:29,587 | INFO | snowflake_raw_loader | Statement 15 completed successfully
2026-04-30 20:47:29,587 | INFO | snowflake_raw_loader | Automated S3 to Snowflake RAW load completed successfully
2026-04-30 20:47:29,820 | INFO | snowflake_raw_loader | Snowflake connection closed
